Country_Name,Food_production_index_2000,Foreign_direct_investmen_2000,Acces_to_electricity_2000,Total_tax_and_contribution_rate_2000 ,Secure_Internet_servers_2000,Agriculture_forestry_and_fishing_value_added_2000 ,Industry_value added_percentof_gdp_2000,GDP_2000 ,GDP_growth_2000 ,Inflation_GDP_deflator_annual_2000,Unemployment_total_percent_of_total_labor_force_2000,Rural_population_percent_of_total_population_2000,Life_expectancy_at_birth_total_years_2000,International_tourism_expenditures_percent_of_total_imports_2000,Food_production_index_2018,Foreign_direct_investmen_2018,Acces_to_electricity_2018,Total_tax_and_contribution_rate_2018 ,Secure_Internet_servers_2018,Agriculture_forestry_and_fishing_value_added_2018 ,Industry_value added_percentof_gdp_2018,GDP_2018,GDP_growth_2018 ,Inflation_GDP_deflator_annual_2018,Unemployment_total_percent_of_total_labor_force_2018,Rural_population_percent_of_total_population_2018,Life_expectancy_at_birth_total_years_2018,International_tourism_expenditures_percent_of_total_imports_2018
Bhutan,79.26,66900000,31.15,37.3,1.458784949,24.26719528,36.43680288,424464089.9,3.355068285,7.350196168,1.593000054,74.582,60.884,0,102.37,2649454.311,99.96877289,35.3,177.6255441,15.99124824,38.20346089,2446866405,3.055129837,1.759330695,2.444000006,59.105,71.46,6.327688361
Botswana,95.15,57171341.35,27.27221298,17.1,4.529199751,2.794699789,46.30065457,5788329609,1.987695854,14.17096689,15.88000011,46.781,50.629,9.006647909,97.19,285955061.9,68.35865784,25.1,133.5364033,2.055350722,35.04239668,16914245098,3.98039539,-0.331891492,22.07099915,30.554,69.275,3.780021698
Central African Republic,76.82,889074.9,6,65.7,7.067524962,3.932985731,46.40484826,914500299.1,-2.48943244,8.506601078,5.609000206,62.361,44.19,0,107.25,18003535.46,14.6539526,73.3,0.642897324,31.24133151,20.55575596,2220978978,3.789443593,-1.224117158,5.605000019,58.636,52.805,6.306664389
Canada,77.58,68303350856,100,47.5,1282.697909,2.091653007,29.50003752,7.45E+11,4.917762744,4.593831662,6.829999924,20.522,79.13658537,5.276957066,106.26,42603762049,100,20.5,30947.02526,1.699891576,24.62230596,1.73E+12,2.777040554,1.61741439,5.829999924,18.589,82.04878049,15.20177688
Central Europe and the Baltics,0.161715817,23562956308,100,44.93636364,150.2756421,4.355030785,28.88494529,4.28E+11,3.955414767,5.565267655,12.43357487,38.52381264,72.71972472,5.464958023,101.31,-21194240711,100,38.46363636,21419.37955,2.774372677,27.71284269,1.65E+12,4.491186349,3.526212136,4.316407385,37.6663334,76.97682268,3.774788354
Switzerland,97.35,23080879763,100,28.8,1449.601523,1.0515353,25.54183704,2.80E+11,3.976409234,1.356847618,2.670000076,26.617,79.6804878,6.087658105,99.57,-1.60E+11,100,28.8,68154.75418,0.635024356,24.67038266,7.36E+11,2.916905098,0.748408212,4.710000038,26.203,83.75365854,5.272124879
Chile,73.04,4860015668,97.938687,25.3,46.30028218,5.377918724,31.42229659,77860932152,5.326938419,4.271839188,10.48999977,13.927,76.366,4.129155057,101.63,7759647365,100,34,8073.29061,3.545663582,29.38910087,2.98E+11,3.713859177,2.360583375,7.230000019,12.436,80.042,3.670676311
China,65.96,42095300000,96.93087006,50.6,1.199068554,14.67624166,45.53610318,1.21E+12,8.490093406,2.062792614,3.25999999,64.123,71.397,8.791564714,103.09,2.35E+11,100,64,443.5127891,7.043020253,39.68701182,1.39E+13,6.749773832,3.499747636,4.28000021,40.848,76.704,3.519927912
Cote d'Ivoire,66.31,234701731.5,48.67458344,53.4,0.535724444,16.19515451,13.93680252,16577533355,-0.265789464,1.60101729,4.584000111,56.845,49.635,0,109.13,620330654.4,67.17237091,50.1,11.64774692,20.54857036,21.0205173,58011466451,6.89028432,0.634843913,3.292999983,49.221,57.422,4.740925789
Cameroon,45.45,159708006.2,41,50.6,0.344128548,18.11774246,28.48270099,10566578953,3.832417795,1.531562958,7.59100008,54.458,50.993,9.614278331,103.49,765092012.8,62.2,57.7,5.433002141,16.4988007,24.68223121,39973839065,3.95551424,1.896991621,3.617000103,43.626,58.921,10.8637484
"Congo, Dem. Rep.",50.8,94190399.9,6.7,288.2,0.061954171,31.97235827,22.4057063,19088046306,-6.910927317,2630.122674,2.904000044,64.878,50.041,0,92.24,1407563588,18.75225258,54.6,2.81914332,19.05648456,43.6426229,47146004587,5.8211211,29.83589587,4.451000214,55.54,60.368,0.646996732
"Congo, Rep.",60.06,-97897925.12,100,64.5,0,5.304252999,72.15267176,3227927593,7.575980395,47.04008308,19.89500046,41.305,52.123,4.942988084,103.1,4315250918,47.22546768,54.3,6.101789674,6.909114704,52.10485927,13670036996,-4.805351557,23.81107853,20.61400032,33.084,64.29,6.306664389
Colombia,71.61,2436459923,95.2,86.7,10.50357476,8.305719533,27.30577228,99886577331,2.924861483,33.67537051,20.52000046,26.043,72.945,10.02901082,105.1,11298692774,98.5,71.9,651.174232,6.22570969,26.89546675,3.34E+11,2.564324283,4.630579673,9.109999657,19.222,77.109,8.60451441
Comoros,84.35,93636.115,39.74314117,217.9,0,29.37631994,12.20627155,351136568.4,10.84787862,-4.460024513,4.681000233,71.92,59.46,0,102.98,5672348.129,81.6246109,219.6,7.208748537,33.72015306,8.876795865,1188797575,3.642525019,1.835595347,8.079000473,71.035,64.118,13.49646428
Cabo Verde,105.1,34202238.38,100,53.1,24.3583602,12.8717827,21.74719078,539227277.6,14.28486883,-7.901103461,10.9829998,46.565,68.583,12.55103462,82.88,112695606.4,93.42980957,37,498.3779728,5.291984295,19.27924548,1966503223,4.531161684,1.52382748,12.17000008,34.268,72.782,8.37575176
Costa Rica,68.44,723426415.3,96.94,58.1,103.5528909,9.248823187,25.44499083,15013629659,3.868718088,9.389713552,5.079999924,40.948,77.452,8.347555571,108.84,3014543618,99.7,58.3,1205.934341,4.483828337,19.55814326,62420165100,2.615904404,2.192478428,9.630000114,20.66,80.095,5.826260624
Caribbean small states,0.141563096,1708338669,86.7479205,41.40909091,71.12953851,4.008642074,24.57064026,34218221461,3.732760668,1.11583405,13.37608844,49.75200337,71.41917942,7.457050878,101.31,2835137647,97.73551587,36.77692308,1023.110836,4.254347917,26.05842733,75312833438,1.872186884,1.071526481,8.709369595,48.8006501,73.63710628,5.700137353
Cuba,112.65,-127932960.9,97,37.8,0.089080249,6.601255014,25.53508215,30565400000,5.914760174,1.741163593,5.449999809,24.677,76.699,0,101.61,126924996.8,99.52880096,,16.05200709,3.783108446,24.87756122,1.00E+11,2.248480393,1.031341929,1.700000048,22.963,78.726,6.306664389
Cyprus,138.68,854874285.7,100,37.8,275.9260374,3.647264681,17.68603455,9985844486,5.965310315,2.74340599,4.96999979,31.352,78.009,10.56030346,103.78,-1110259659,100,22.2,6372.01895,1.733539855,12.18250115,25522671233,5.692841724,1.003866522,8.369999886,33.19,80.828,8.354910222
Czech Republic,105.53,4987079129,100,48.7,305.5064677,3.250528331,33.49120748,61828166496,4.001028635,1.842133728,8.760000229,26.012,74.96829268,0,95.53,8324668391,100,46.1,42344.59537,1.936644875,31.75703117,2.49E+11,3.198656101,2.568094546,2.24000001,26.208,79.02926829,3.43600441
Germany,93.66,2.48E+11,100,47.7,1049.317943,0.994789222,27.71237832,1.94E+12,2.912502964,-0.489389005,7.920000076,25.035,77.92682927,9.676459111,93.17,1.59E+11,100,49,56406.62071,0.689013201,27.30707333,3.98E+12,1.086024514,1.974717161,3.380000114,22.688,80.89268293,6.328146551
Dominica,105.17,17596296.3,80.96955109,37,42.32684792,11.90399502,15.86014638,333470370.4,2.340219321,-1.782730606,5.662000179,34.735,72.303,0,102.12,78283172.03,100,32.6,6631.670064,11.10662685,15.81375952,550622222.2,2.214305241,3.627455662,6.573999882,29.517,79.5195122,6.663856496
Denmark,97.16,36013297907,100,32.6,1588.050363,2.151853226,23.65270962,1.64E+11,3.746862595,3.017974288,4.480000019,14.9,76.59268293,7.238141363,94.4,8764023726,100,23.8,123154.4405,1.026569351,20.82449329,3.57E+11,1.989537315,0.747856838,5.130000114,12.126,80.95365854,5.826973316
Dominican Republic,57.71,989000000,88.764932,35.5,11.86164128,6.718342047,31.67042451,24305717542,4.66176228,7.207762797,6.429999828,38.247,69.429,5.648774601,108.92,2744500000,98.9,48.8,121.6695318,5.147782819,28.81128478,85555378043,6.982527585,4.121489687,5.860000134,18.926,73.892,4.171781176
Algeria,41.85,280100000,100,76.9,0.361337439,8.395048495,46.24851522,54790392746,3.8,22.67800919,29.77000046,40.081,70.64,0,89.97,1466116068,99.641922,66.1,67.60850484,11.87420085,27.75214328,1.75E+11,1.1,6.862936667,10.42000008,27.371,76.693,0.901999675
East Asia & Pacific (excluding high income),0.13034963,48070308982,92.52939546,36.8,2.433945461,14.42126823,43.73513754,1.73E+12,7.63979191,4.488493398,3.405416825,63.43588414,70.13617325,5.963773079,97.32,3.11E+11,97.73888065,33.705,677.1415699,7.7535928,39.18614182,1.66E+13,6.515506328,3.302950738,3.792054989,44.34986597,75.21766316,15.20177688
Early-demographic dividend,0.244927893,51281457720,65.97408855,43.83207547,7.116090445,10.3803817,31.69584401,3.38E+12,4.408247638,7.993446741,6.235296187,61.66592719,64.40307724,5.805898954,103.73,2.24E+11,90.92324561,37.69344262,623.3781327,10.32132191,32.27820655,1.12E+13,3.669162677,3.74065383,5.636733013,54.86984384,70.48323834,5.183908151
East Asia & Pacific,0.132369628,1.75E+11,93.33774439,37.84166667,58.8647082,4.448411775,34.05598771,8.37E+12,5.391156929,2.849913455,3.535480292,58.57924434,71.17191877,6.685695809,95.56,6.02E+11,97.95669786,34.40689655,1991.841603,5.399668965,35.17009024,2.64E+13,4.730265273,3.15980891,3.733557946,40.94716294,76.07158863,15.20177688
Europe & Central Asia (excluding high income),0.155670818,9009453104,99.86444419,57.00588235,27.54586792,9.513064242,30.17134356,7.00E+11,8.025834083,23.46454819,10.7015704,36.10185006,67.55767194,0,100.6,50796959380,99.9820554,33.255,5066.772334,5.135376698,30.94586496,3.42E+12,3.227980625,3.926155289,6.944385653,33.00468926,73.67534256,7.550293137
